epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2116,1.53721,4.19591,1.27847,0.02831,0.33076,0.05376,0.02304,1.27107,4.00634,1.03386,0.00023324,0.00023324,0.00023324
2,129.688,1.51721,3.32076,1.14798,0.03216,0.42565,0.09287,0.04748,1.41566,3.09271,1.14493,0.000461909,0.000461909,0.000461909
3,193.993,1.5764,2.7215,1.2153,0.58176,0.09889,0.0738,0.03497,1.47013,3.02808,1.31977,0.000681154,0.000681154,0.000681154
4,257.962,1.60189,2.46126,1.21827,0.70806,0.12183,0.11637,0.05699,1.49856,2.47962,1.20065,0.000671588,0.000671588,0.000671588
5,321.624,1.58543,2.37122,1.21062,0.6887,0.21581,0.1808,0.09161,1.47765,2.46046,1.15519,0.000657451,0.000657451,0.000657451
6,385.459,1.57409,2.31408,1.17512,0.79081,0.20596,0.22539,0.11207,1.47403,2.18013,1.1505,0.000643314,0.000643314,0.000643314
7,449.421,1.58472,2.20022,1.16961,0.70378,0.23706,0.2227,0.1147,1.49617,2.02671,1.14655,0.000629177,0.000629177,0.000629177
8,514.181,1.54751,2.19439,1.18421,0.72058,0.22519,0.21941,0.11346,1.50471,2.06501,1.18399,0.00061504,0.00061504,0.00061504
9,578.192,1.57281,2.06658,1.19039,0.70999,0.22485,0.21175,0.09748,1.5413,2.16732,1.2344,0.000600902,0.000600902,0.000600902
10,641.889,1.54596,2.04254,1.18233,0.72705,0.22529,0.22341,0.1145,1.50662,1.98357,1.15999,0.000586765,0.000586765,0.000586765
11,706.126,1.5355,2.03336,1.18362,0.69917,0.24143,0.23322,0.12143,1.47049,2.01164,1.16739,0.000572628,0.000572628,0.000572628
12,770.66,1.51118,1.99668,1.17653,0.70896,0.24223,0.21751,0.10926,1.44116,2.06554,1.16357,0.000558491,0.000558491,0.000558491
13,834.383,1.52635,1.939,1.18288,0.66019,0.25144,0.24426,0.12692,1.49711,1.95691,1.18044,0.000544354,0.000544354,0.000544354
14,897.905,1.50641,1.92285,1.17212,0.75643,0.23258,0.25607,0.13149,1.47294,1.87456,1.17567,0.000530216,0.000530216,0.000530216
15,961.832,1.52893,1.91686,1.18661,0.69725,0.25869,0.26537,0.14057,1.48233,1.81119,1.1586,0.000516079,0.000516079,0.000516079
16,1025.09,1.52184,1.8556,1.17827,0.78148,0.23919,0.2469,0.12897,1.47055,1.77274,1.16437,0.000501942,0.000501942,0.000501942
17,1088.51,1.50499,1.80972,1.18915,0.69051,0.26442,0.25514,0.1359,1.45704,1.74324,1.18317,0.000487805,0.000487805,0.000487805
18,1151.59,1.50029,1.77049,1.17747,0.51613,0.28396,0.24724,0.12791,1.4882,1.73622,1.15409,0.000473668,0.000473668,0.000473668
19,1214.77,1.51616,1.7246,1.18125,0.76231,0.25622,0.2728,0.14394,1.44327,1.63562,1.16017,0.00045953,0.00045953,0.00045953
20,1278.4,1.49057,1.7395,1.18736,0.5812,0.23159,0.26098,0.13668,1.4975,1.65567,1.20196,0.000445393,0.000445393,0.000445393
21,1341.55,1.49042,1.72811,1.18021,0.42702,0.26315,0.2584,0.13954,1.44342,1.75534,1.17632,0.000431256,0.000431256,0.000431256
22,1405.27,1.50376,1.73397,1.17427,0.67927,0.26887,0.28105,0.14773,1.46804,1.59914,1.16368,0.000417119,0.000417119,0.000417119
23,1468.7,1.49172,1.67479,1.17888,0.56786,0.28104,0.28582,0.15409,1.4377,1.5871,1.17025,0.000402982,0.000402982,0.000402982
24,1532.82,1.47341,1.63066,1.1746,0.56451,0.27631,0.27705,0.14451,1.48101,1.62186,1.19126,0.000388844,0.000388844,0.000388844
25,1596.15,1.46724,1.63412,1.17887,0.68379,0.26675,0.28537,0.14807,1.42256,1.61136,1.18163,0.000374707,0.000374707,0.000374707
26,1659.42,1.48035,1.61715,1.1763,0.6356,0.29497,0.29129,0.15007,1.48967,1.5505,1.19768,0.00036057,0.00036057,0.00036057
27,1723.14,1.45684,1.60262,1.1785,0.67556,0.26064,0.28811,0.15176,1.4432,1.57809,1.17535,0.000346433,0.000346433,0.000346433
28,1786.5,1.45812,1.5795,1.17078,0.58097,0.28781,0.30294,0.16281,1.43346,1.61382,1.1731,0.000332296,0.000332296,0.000332296
29,1849.81,1.48243,1.5874,1.17291,0.59114,0.26651,0.3098,0.16242,1.48921,1.49118,1.19388,0.000318158,0.000318158,0.000318158
30,1913.14,1.46194,1.5678,1.16698,0.5645,0.28236,0.30332,0.16097,1.46156,1.50212,1.1826,0.000304021,0.000304021,0.000304021
31,1976.61,1.46378,1.55266,1.17166,0.77471,0.28767,0.30267,0.1549,1.496,1.51426,1.18152,0.000289884,0.000289884,0.000289884
32,2040.24,1.46054,1.51934,1.17539,0.686,0.2807,0.30506,0.1608,1.47755,1.44457,1.18703,0.000275747,0.000275747,0.000275747
33,2103.8,1.43875,1.50059,1.15368,0.78439,0.25465,0.30208,0.16069,1.46495,1.49554,1.16265,0.00026161,0.00026161,0.00026161
34,2167.12,1.43424,1.49398,1.1646,0.69724,0.28866,0.31619,0.16474,1.46026,1.39805,1.18843,0.000247472,0.000247472,0.000247472
35,2230.18,1.43462,1.46961,1.16788,0.68714,0.32299,0.32518,0.17061,1.46622,1.46745,1.19076,0.000233335,0.000233335,0.000233335
36,2293.7,1.44185,1.49732,1.16456,0.72707,0.27673,0.32376,0.17169,1.44464,1.45616,1.19034,0.000219198,0.000219198,0.000219198
37,2356.53,1.44781,1.45401,1.18586,0.65635,0.3058,0.31331,0.16335,1.43888,1.48229,1.17388,0.000205061,0.000205061,0.000205061
38,2419.79,1.44756,1.45338,1.16921,0.71903,0.26279,0.3244,0.17116,1.45383,1.40274,1.1792,0.000190924,0.000190924,0.000190924
39,2482.92,1.42974,1.40133,1.16617,0.55815,0.31814,0.32186,0.16921,1.45441,1.43621,1.18594,0.000176786,0.000176786,0.000176786
40,2546.12,1.43738,1.42255,1.16533,0.56994,0.38887,0.3382,0.17546,1.46937,1.43792,1.19967,0.000162649,0.000162649,0.000162649
41,2607.77,1.43533,1.46027,1.16674,0.61219,0.34209,0.33541,0.17076,1.44044,1.45998,1.17586,0.000148512,0.000148512,0.000148512
42,2670.19,1.40861,1.40219,1.17202,0.60864,0.37138,0.33783,0.17206,1.45928,1.41364,1.16835,0.000134375,0.000134375,0.000134375
43,2731.65,1.40407,1.37251,1.16957,0.59529,0.35369,0.33008,0.17442,1.46046,1.39048,1.18322,0.000120238,0.000120238,0.000120238
44,2793.47,1.39705,1.34316,1.16802,0.64144,0.30791,0.32842,0.17439,1.45966,1.44009,1.18384,0.0001061,0.0001061,0.0001061
45,2855.01,1.40196,1.33133,1.16276,0.63337,0.30533,0.3329,0.17564,1.46041,1.39951,1.18839,9.19632e-05,9.19632e-05,9.19632e-05
46,2916.56,1.39925,1.32362,1.1644,0.68375,0.31692,0.33629,0.17983,1.45659,1.36699,1.18396,7.7826e-05,7.7826e-05,7.7826e-05
47,2977.99,1.38858,1.31505,1.15426,0.63027,0.33115,0.3366,0.17903,1.44524,1.38418,1.17424,6.36888e-05,6.36888e-05,6.36888e-05
48,3039.71,1.38553,1.30932,1.15661,0.61187,0.34551,0.33956,0.17962,1.47192,1.37955,1.19326,4.95516e-05,4.95516e-05,4.95516e-05
49,3101.77,1.39384,1.32674,1.16269,0.71353,0.30813,0.34098,0.18047,1.48433,1.35836,1.19141,3.54144e-05,3.54144e-05,3.54144e-05
50,3163.39,1.37031,1.28696,1.15439,0.62296,0.33897,0.33805,0.17903,1.46343,1.35647,1.18391,2.12772e-05,2.12772e-05,2.12772e-05
