epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.601,1.63737,2.97635,1.53578,0.31105,0.16004,0.10168,0.04768,1.57903,2.70077,1.68497,0.000234448,0.000234448,0.000234448
2,399.236,1.61904,2.08003,1.48674,0.46738,0.18029,0.16911,0.08574,1.59372,2.10893,1.70875,0.000463093,0.000463093,0.000463093
3,599.675,1.63387,1.82162,1.55763,0.48195,0.19758,0.16779,0.08491,1.61591,1.85279,1.70571,0.000682314,0.000682314,0.000682314
4,798.394,1.624,1.73465,1.5361,0.49692,0.28407,0.24183,0.1217,1.55068,1.67457,1.65008,0.000671588,0.000671588,0.000671588
5,997.949,1.62061,1.70575,1.55069,0.48157,0.26946,0.21935,0.10921,1.57444,1.6337,1.71351,0.000657451,0.000657451,0.000657451
6,1197.66,1.60689,1.61395,1.54515,0.40327,0.31683,0.22565,0.1048,1.69479,1.61946,1.79423,0.000643314,0.000643314,0.000643314
7,1409.95,1.61779,1.54715,1.54167,0.53079,0.31871,0.28129,0.1471,1.58495,1.32708,1.71532,0.000629177,0.000629177,0.000629177
8,1623.14,1.63875,1.53857,1.57351,0.52408,0.30189,0.26963,0.13369,1.5738,1.33403,1.69184,0.00061504,0.00061504,0.00061504
9,1834.28,1.59763,1.47963,1.57734,0.58949,0.3141,0.28595,0.14429,1.59782,1.421,1.70365,0.000600902,0.000600902,0.000600902
10,2045.41,1.60398,1.49411,1.52751,0.47498,0.3052,0.27769,0.14544,1.58196,1.356,1.70563,0.000586765,0.000586765,0.000586765
11,2256.08,1.62725,1.55407,1.57673,0.66615,0.30436,0.28884,0.14356,1.66042,1.33667,1.7565,0.000572628,0.000572628,0.000572628
12,2468.37,1.58957,1.453,1.53026,0.55479,0.37179,0.30591,0.15726,1.552,1.35072,1.671,0.000558491,0.000558491,0.000558491
13,2680.86,1.59223,1.40707,1.52234,0.37201,0.38088,0.30578,0.15539,1.59116,1.39023,1.69748,0.000544354,0.000544354,0.000544354
14,2891.68,1.55873,1.34052,1.51629,0.46067,0.33444,0.3265,0.17173,1.61172,1.22138,1.74453,0.000530216,0.000530216,0.000530216
15,3103.59,1.56654,1.32114,1.51139,0.57526,0.36035,0.3522,0.17998,1.5692,1.26014,1.69197,0.000516079,0.000516079,0.000516079
16,3315.96,1.5676,1.31395,1.52562,0.60662,0.32724,0.32557,0.15069,1.64698,1.22061,1.77022,0.000501942,0.000501942,0.000501942
17,3528.74,1.57599,1.34414,1.54376,0.62645,0.30701,0.31197,0.15345,1.65036,1.33125,1.74928,0.000487805,0.000487805,0.000487805
18,3741.01,1.52706,1.27685,1.5035,0.46417,0.41314,0.35591,0.18037,1.58122,1.1851,1.68987,0.000473668,0.000473668,0.000473668
19,3952.71,1.54137,1.22031,1.50171,0.69126,0.35914,0.35154,0.18313,1.56362,1.15003,1.68075,0.00045953,0.00045953,0.00045953
