epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.7624,1.53721,4.19591,1.27847,0.02831,0.33076,0.05376,0.02304,1.27107,4.00634,1.03386,0.00023324,0.00023324,0.00023324
2,135.522,1.51737,3.3176,1.14815,0.03283,0.41887,0.08808,0.04525,1.43145,3.08094,1.14504,0.000466575,0.000466575,0.000466575
3,203.356,1.58172,2.71018,1.21697,0.69711,0.09058,0.08372,0.04022,1.46804,2.90738,1.30896,0.000695197,0.000695197,0.000695197
4,270.987,1.5927,2.4546,1.21353,0.73006,0.14489,0.12039,0.05844,1.51608,2.45698,1.17898,0.000692794,0.000692794,0.000692794
5,339.033,1.57834,2.36166,1.20565,0.69158,0.22953,0.18427,0.09465,1.49089,2.48596,1.14871,0.000685726,0.000685726,0.000685726
6,407.012,1.56436,2.30983,1.17674,0.70282,0.21194,0.20523,0.10585,1.49355,2.11853,1.1585,0.000678657,0.000678657,0.000678657
7,474.875,1.58525,2.21552,1.16499,0.7092,0.21164,0.20455,0.10221,1.51229,2.0732,1.17013,0.000671588,0.000671588,0.000671588
8,539.372,1.56382,2.20576,1.18562,0.70481,0.20069,0.19693,0.10251,1.45157,2.21038,1.17833,0.00066452,0.00066452,0.00066452
9,603.705,1.56602,2.08525,1.18539,0.78155,0.21713,0.21902,0.10612,1.50437,2.07509,1.20689,0.000657451,0.000657451,0.000657451
10,668.138,1.54452,2.04277,1.17825,0.68689,0.18514,0.15596,0.0754,1.54982,2.19319,1.16893,0.000650383,0.000650383,0.000650383
11,732.287,1.5356,2.05024,1.18254,0.7086,0.23786,0.21567,0.11022,1.48704,2.0206,1.18044,0.000643314,0.000643314,0.000643314
12,797.07,1.51592,2.01052,1.1839,0.78025,0.21828,0.22632,0.11464,1.42576,2.25231,1.17996,0.000636245,0.000636245,0.000636245
13,860.765,1.52048,1.95013,1.18351,0.6637,0.25303,0.22573,0.1199,1.48825,1.95813,1.19517,0.000629177,0.000629177,0.000629177
14,923.952,1.50736,1.9219,1.17931,0.61165,0.27368,0.22557,0.11541,1.50453,1.95278,1.19325,0.000622108,0.000622108,0.000622108
15,987.617,1.54065,1.93728,1.19555,0.63765,0.24391,0.23943,0.12526,1.48478,1.93697,1.16715,0.00061504,0.00061504,0.00061504
16,1050.9,1.53193,1.86209,1.19062,0.69614,0.29404,0.23871,0.12293,1.49442,1.7794,1.1679,0.000607971,0.000607971,0.000607971
17,1114.15,1.51068,1.81476,1.19824,0.51064,0.26235,0.25601,0.13654,1.47411,1.6986,1.16791,0.000600902,0.000600902,0.000600902
18,1177.67,1.49975,1.78398,1.18606,0.61929,0.27649,0.2651,0.14067,1.46191,1.71091,1.16438,0.000593834,0.000593834,0.000593834
19,1241.18,1.51452,1.76397,1.19883,0.56282,0.24254,0.2565,0.1333,1.45287,1.69873,1.16516,0.000586765,0.000586765,0.000586765
20,1304.53,1.4898,1.76571,1.192,0.33256,0.28721,0.2584,0.13599,1.48609,1.68238,1.19716,0.000579697,0.000579697,0.000579697
21,1368.46,1.49767,1.76717,1.19099,0.44799,0.27066,0.26855,0.14547,1.45427,1.74857,1.18696,0.000572628,0.000572628,0.000572628
22,1433.15,1.50448,1.73316,1.19015,0.56295,0.27955,0.275,0.14449,1.49423,1.60649,1.19959,0.000565559,0.000565559,0.000565559
23,1497.55,1.5015,1.69682,1.20711,0.57737,0.25895,0.26301,0.13931,1.45353,1.70713,1.20396,0.000558491,0.000558491,0.000558491
24,1563.28,1.47703,1.65883,1.1873,0.61208,0.26576,0.27108,0.13898,1.47796,1.6984,1.20258,0.000551422,0.000551422,0.000551422
25,1627.38,1.47369,1.66302,1.19715,0.66476,0.28162,0.2929,0.15811,1.44678,1.57753,1.18804,0.000544354,0.000544354,0.000544354
26,1693.82,1.49581,1.63668,1.20243,0.78098,0.27874,0.30614,0.16139,1.46643,1.55347,1.20568,0.000537285,0.000537285,0.000537285
27,1761.38,1.46593,1.61556,1.19684,0.64376,0.27872,0.28727,0.1531,1.44353,1.58664,1.19326,0.000530216,0.000530216,0.000530216
28,1827.49,1.46083,1.59729,1.18133,0.57848,0.34772,0.30069,0.15854,1.4813,1.56237,1.17697,0.000523148,0.000523148,0.000523148
29,1892.15,1.49253,1.6135,1.19427,0.51501,0.31574,0.28778,0.14906,1.48047,1.54793,1.21422,0.000516079,0.000516079,0.000516079
30,1956.31,1.47279,1.5996,1.18905,0.59282,0.27231,0.29783,0.15208,1.48953,1.53916,1.19509,0.000509011,0.000509011,0.000509011
31,2019.75,1.50241,1.58389,1.19656,0.54387,0.3035,0.28768,0.14698,1.5069,1.50341,1.1953,0.000501942,0.000501942,0.000501942
32,2083.14,1.49275,1.5595,1.20666,0.50042,0.30495,0.28485,0.15366,1.45769,1.55112,1.19229,0.000494873,0.000494873,0.000494873
33,2146.31,1.45988,1.52055,1.19097,0.50791,0.32237,0.29007,0.15269,1.44905,1.50688,1.19758,0.000487805,0.000487805,0.000487805
34,2209.57,1.46357,1.49634,1.1937,0.64566,0.26756,0.30259,0.16256,1.47719,1.43117,1.18943,0.000480736,0.000480736,0.000480736
35,2272.87,1.45392,1.47989,1.19324,0.64549,0.30099,0.29983,0.15818,1.49114,1.50656,1.22145,0.000473668,0.000473668,0.000473668
36,2336.21,1.46054,1.50262,1.19626,0.59655,0.30404,0.33113,0.17449,1.46351,1.45937,1.21081,0.000466599,0.000466599,0.000466599
37,2399.4,1.46924,1.45394,1.21648,0.65867,0.31996,0.32096,0.1702,1.48091,1.48901,1.20199,0.00045953,0.00045953,0.00045953
38,2462.66,1.45594,1.46924,1.19815,0.58119,0.30636,0.29234,0.15528,1.45765,1.52279,1.21389,0.000452462,0.000452462,0.000452462
39,2526.04,1.46036,1.42081,1.20546,0.62887,0.30751,0.30827,0.16304,1.46178,1.54477,1.23602,0.000445393,0.000445393,0.000445393
40,2589.48,1.46456,1.42732,1.20179,0.60992,0.35329,0.32803,0.17054,1.4479,1.46162,1.20537,0.000438325,0.000438325,0.000438325
41,2652.91,1.44548,1.40171,1.20969,0.65721,0.33711,0.32383,0.17319,1.45109,1.47706,1.21842,0.000431256,0.000431256,0.000431256
42,2716.7,1.45144,1.37346,1.19744,0.68881,0.31761,0.33394,0.17399,1.48887,1.42199,1.21528,0.000424187,0.000424187,0.000424187
43,2780.03,1.45875,1.38507,1.20215,0.51479,0.30835,0.32865,0.16875,1.46938,1.4756,1.23404,0.000417119,0.000417119,0.000417119
44,2843.44,1.44849,1.34509,1.2123,0.60412,0.36986,0.34096,0.17994,1.46829,1.39185,1.20984,0.00041005,0.00041005,0.00041005
45,2906.85,1.44144,1.35609,1.20273,0.60951,0.36096,0.33769,0.17835,1.49854,1.38395,1.22614,0.000402982,0.000402982,0.000402982
46,2970.18,1.46117,1.33107,1.21114,0.68739,0.34824,0.36693,0.1964,1.55147,1.31791,1.25222,0.000395913,0.000395913,0.000395913
47,3033.37,1.44413,1.34429,1.20062,0.59912,0.33153,0.32157,0.16292,1.51211,1.5119,1.25336,0.000388844,0.000388844,0.000388844
48,3096.45,1.43605,1.33131,1.2021,0.66962,0.33783,0.33746,0.17361,1.48728,1.4153,1.22692,0.000381776,0.000381776,0.000381776
49,3159.65,1.4263,1.29882,1.19072,0.62668,0.36327,0.34968,0.1867,1.4482,1.4326,1.21958,0.000374707,0.000374707,0.000374707
50,3222.89,1.44778,1.31271,1.1842,0.61636,0.33517,0.34398,0.18277,1.48251,1.32683,1.22427,0.000367639,0.000367639,0.000367639
51,3286.14,1.40979,1.29671,1.19527,0.61529,0.3192,0.31806,0.17202,1.4717,1.41919,1.21845,0.00036057,0.00036057,0.00036057
52,3349.75,1.43671,1.26608,1.18834,0.47753,0.39394,0.34282,0.18626,1.49768,1.45412,1.25,0.000353501,0.000353501,0.000353501
53,3413.99,1.42497,1.30491,1.20029,0.6038,0.34341,0.35499,0.19282,1.48988,1.31688,1.24357,0.000346433,0.000346433,0.000346433
54,3481.52,1.42633,1.26292,1.1938,0.60719,0.35584,0.40919,0.23016,1.4957,1.35804,1.23527,0.000339364,0.000339364,0.000339364
55,3549.08,1.42621,1.25952,1.19245,0.62113,0.37608,0.38188,0.20383,1.50091,1.32566,1.24253,0.000332296,0.000332296,0.000332296
56,3616.39,1.40997,1.21819,1.19603,0.72651,0.30424,0.3772,0.20119,1.49576,1.41786,1.24157,0.000325227,0.000325227,0.000325227
57,3683.6,1.41524,1.22361,1.1854,0.64409,0.34668,0.36882,0.20089,1.5038,1.31426,1.22773,0.000318158,0.000318158,0.000318158
58,3747.99,1.41405,1.20037,1.18912,0.54192,0.35061,0.37264,0.20189,1.55518,1.32634,1.2585,0.00031109,0.00031109,0.00031109
59,3811.69,1.41383,1.20667,1.18507,0.55227,0.3354,0.38403,0.21161,1.50367,1.34898,1.25096,0.000304021,0.000304021,0.000304021
60,3875.14,1.40271,1.205,1.19187,0.65472,0.3231,0.3587,0.19038,1.48627,1.35306,1.23408,0.000296953,0.000296953,0.000296953
61,3938.54,1.40866,1.2031,1.19547,0.68834,0.30568,0.36209,0.19238,1.50389,1.41748,1.24782,0.000289884,0.000289884,0.000289884
62,4002.04,1.40225,1.18893,1.19334,0.68112,0.31248,0.35753,0.18939,1.48,1.33092,1.23439,0.000282815,0.000282815,0.000282815
63,4065.87,1.40769,1.17747,1.19353,0.6998,0.32289,0.3676,0.19572,1.49836,1.30201,1.23893,0.000275747,0.000275747,0.000275747
64,4129.83,1.38124,1.1441,1.18717,0.63368,0.34733,0.36737,0.19014,1.4997,1.32089,1.24705,0.000268678,0.000268678,0.000268678
65,4194.05,1.38564,1.13939,1.17295,0.68366,0.31957,0.39071,0.20976,1.52663,1.29522,1.26217,0.00026161,0.00026161,0.00026161
66,4258.01,1.39017,1.1583,1.18306,0.70364,0.32475,0.38767,0.20518,1.51556,1.35328,1.24999,0.000254541,0.000254541,0.000254541
67,4321.68,1.36518,1.12391,1.17601,0.65877,0.32773,0.40783,0.23652,1.51312,1.36901,1.26063,0.000247472,0.000247472,0.000247472
68,4385.63,1.3944,1.12479,1.1868,0.65006,0.3587,0.41391,0.24467,1.51923,1.28611,1.25255,0.000240404,0.000240404,0.000240404
69,4449.3,1.37539,1.11864,1.18126,0.64878,0.35821,0.39732,0.22353,1.51438,1.32476,1.25493,0.000233335,0.000233335,0.000233335
70,4512.91,1.37314,1.1335,1.18479,0.6333,0.32752,0.35691,0.18616,1.56557,1.27868,1.27324,0.000226267,0.000226267,0.000226267
71,4576.49,1.3736,1.10947,1.17416,0.62484,0.37658,0.3839,0.20457,1.49642,1.30352,1.23314,0.000219198,0.000219198,0.000219198
72,4640.21,1.36788,1.09391,1.1731,0.66682,0.32649,0.41709,0.23966,1.507,1.28088,1.24154,0.000212129,0.000212129,0.000212129
73,4703.59,1.34644,1.09694,1.18131,0.68821,0.31562,0.38396,0.2076,1.49923,1.30916,1.24949,0.000205061,0.000205061,0.000205061
74,4767.08,1.35857,1.08345,1.16785,0.63051,0.35477,0.40892,0.23451,1.53707,1.3172,1.25801,0.000197992,0.000197992,0.000197992
75,4831.39,1.35963,1.07375,1.18148,0.72231,0.29315,0.38176,0.20646,1.53147,1.3075,1.26969,0.000190924,0.000190924,0.000190924
76,4894.92,1.3674,1.07874,1.1713,0.6658,0.33152,0.36532,0.1936,1.53853,1.31935,1.27238,0.000183855,0.000183855,0.000183855
77,4958.63,1.35551,1.08302,1.17113,0.61641,0.37122,0.3756,0.19899,1.55345,1.26613,1.26499,0.000176786,0.000176786,0.000176786
78,5022.34,1.36236,1.05874,1.17177,0.70089,0.32741,0.43083,0.24029,1.53864,1.31331,1.28295,0.000169718,0.000169718,0.000169718
